25 100
12
1 8
3 5364704 27
2 6332590 43
2 4657713 18
3 9636922 26
3 267465985 27
3 2091403 28
3 3424219 29
3 9902508 30
3 3056761 31
3 6637577 32
2 6325914 50
2 338333581 46
3 1383444 31
2 3905874 30
2 7901989 8
2 661453652 13
3 4713287 29
3 409576393 30
2 8436123 22
2 471618 32
2 595669 41
2 3322052 48
2 6188607 6
2 5531062 9
3 2416939 25
3 6188607 26
2 2105861 36
2 8913076 6
3 3124785 25
3 7732717 26
2 962427 20
2 9715490 1
2 2015797 14
2 8590884 25
3 338333581 23
3 661453652 24
3 595669 25
2 5075641 45
2 1739896 41
2 9083651 12
3 7944271 23
3 6325914 24
3 6368983 25
2 6092684 27
3 8913076 25
2 6256789 6
2 6840196 28
2 5853439 37
3 6332590 23
2 2574588 43
2 8946647 46
2 1736366 50
2 1594289 2
3 8590884 20
3 4657713 21
2 7606892 18
2 7749127 25
3 5075641 20
2 4182372 44
2 1348063 7
3 3322052 19
2 29780828 48
2 3227703 10
2 76174 13
3 1736366 17
3 8623874 18
2 2439613 50
2 2966860 11
2 7916263 15
2 8103294 17
3 6256789 15
2 36896191 6
2 1189942 19
2 4842841 21
3 7931710 13
2 4227054 16
3 76174 13
3 2439613 14
3 4227054 15
3 2966860 16
3 4842841 17
2 6379207 50
2 383838 11
3 501341551 16
2 7316895 23
3 9715490 16
2 2254876 1
3 6092684 16
2 7643877 26
2 2722964 13
3 1189942 15
2 626429 16
3 4182372 15
3 7809753 16
3 1739896 17
2 2533054 41
3 2722964 17
2 7530367 44
2 3024502 5
400
1 2000
2 24857 1
2 4162392 2000
2 8390883 1000
2 8974122 1500
2 3311709 500
3 24857 1996
2 243298 1
2 2573941 750
2 980836 1250
3 8974122 1994
2 3912589 1625
2 9403612 250
2 5046711 1437
2 6126990 1812
3 8390883 1991
3 6126990 1992
2 200709821 1000
2 289407180 1812
3 5046711 1991
3 980836 1992
2 967539 1312
3 2573941 1992
3 289407180 1993
2 9101110 750
2 257541593 1812
2 5167128 1468
2 8784931 1156
3 243298 1990
3 5167128 1991
2 1948966 1468
3 9403612 1991
3 3311709 1992
3 1948966 1993
2 7821523 1
2 2862682 375
2 2768205 562
2 8698396 188
2 1043191 1468
3 2862682 1989
2 5303828 375
3 3912589 1989
2 5784317 1640
2 3237900 875
3 2768205 1988
2 1442965 562
2 6556932 656
2 4365055 1906
3 4365055 1986
2 4815228 1906
3 9101110 1986
2 5885893 765
3 5784317 1986
2 9264810 1640
3 6556932 1986
3 4815228 1987
2 5518665 663
2 374984 1906
2 7179923 94
2 37903002 281
3 374984 1984
2 960859499 1906
2 9341650 468
2 3593381 1554
2 466061780 1726
2 823311 1078
2 6196038 1234
2 8247209 1390
3 960859499 1978
3 7179923 1979
2 8728132 1906
2 799807 94
2 6049206 937
3 257541593 1977
2 2605335 1816
3 5518665 1977
2 9661876 663
3 1442965 1977
2 2047389 565
2 606005804 820
3 8784931 1976
3 6196038 1977
2 8915027 1195
2 6626394 1136
2 7559245 1253
2 4706204 714
3 1043191 1974
2 9849061 1472
2 7017492 614
3 6049206 1973
2 517288189 937
2 8394636 516
3 5885893 1972
2 4668309 767
3 2605335 1972
3 7017492 1973
2 2061536 1816
3 8247209 1973
2 532927513 1392
3 8915027 1973
2 4553646 1194
2 7560369 614
3 2061536 1972
3 8698396 1973
2 9716460 187
3 200709821 1973
2 2313845 1816
3 823311 1973
2 156352538 1036
2 361869 1086
3 799807 1972
3 4706204 1973
3 3237900 1974
3 4162392 1975
2 3875540 94
2 9894799 878
3 3593381 1974
2 6501580 1556
2 3807335 715
2 347518 986
2 5091649 2000
2 5130912 234
2 1684043 328
3 3875540 1969
3 4553646 1970
3 7559245 1971
2 4514100 94
3 2313845 1971
3 9716460 1972
3 7821523 1973
2 1888265 1816
2 9658504 1224
3 4668309 1972
2 9654817 164
3 6626394 1972
2 6677654 1155
2 772793 767
3 6677654 1971
2 6255950 1155
3 6255950 1971
2 2385999 1155
2 5157638 1
3 9264810 1970
2 768551 1641
3 347518 1970
2 8752260 986
2 7451775 1953
2 6751606 47
2 3076377 421
3 967539 1967
2 193534510 1308
3 5157638 1967
2 6470703 1771
3 2047389 1967
3 361869 1968
3 517288189 1969
3 8728132 1970
2 1954718 1884
2 9335905 1095
3 1954718 1969
2 3737686 1884
2 339199993 932
2 4832056 565
2 8151619 1598
3 156352538 1966
2 612359984 1040
3 4514100 1966
3 1684043 1967
3 37903002 1968
3 532927513 1969
3 9661876 1970
2 2004673 1390
3 3807335 1970
3 3076377 1971
2 186428 690
2 8597015 304
2 8570734 105
2 4511857 421
3 4511857 1968
3 2004673 1969
3 8151619 1970
3 5130912 1971
3 9849061 1972
2 4181854 1432
3 6470703 1972
2 9062431 234
2 533176854 1370
3 8597015 1971
2 841207 304
2 8455758 1494
3 841207 1970
2 9236687 304
2 8612486 421
2 713779689 1771
2 1563624 1598
3 9062431 1967
2 6551553 234
3 8394636 1967
3 9236687 1968
2 329603836 304
3 3737686 1968
2 5634501 1884
2 7796 516
3 7451775 1967
2 2872541 1942
3 2385999 1967
3 8570734 1968
2 7327816 1159
2 6620435 105
3 7560369 1967
3 5091649 1968
2 5818710 627
2 9717369 1683
2 2349880 1266
2 9505475 728
3 533176854 1965
2 3124144 1370
3 6501580 1965
3 3124144 1966
2 6757863 1370
3 713779689 1966
2 1506116 1546
3 7796 1966
3 1506116 1967
2 3826891 1546
2 362162 516
2 4892037 1771
3 339199993 1965
2 7877866 932
2 1516317 339
2 4572588 199
2 9831623 269
3 2349880 1962
2 2047268 1266
2 710047 1850
3 9717369 1961
3 5634501 1962
2 1718290 1896
3 193534510 1962
2 7008771 1318
3 1516317 1962
3 8752260 1963
2 8420230 986
3 768551 1963
2 1594151 1662
3 466061780 1963
3 8612486 1964
2 7774138 1716
2 6567981 421
2 4356476 339
3 1594151 1962
2 3917253 1657
2 3693684 1191
2 5920687 1127
2 3541094 658
2 1906633 596
2 6315208 1401
2 8725395 1463
3 9341650 1956
2 7725632 468
3 6551553 1956
2 7327225 234
2 6015032 134
3 186428 1955
2 631654161 693
3 710047 1955
3 362162 1956
3 329603836 1957
2 5745090 516
3 4181854 1957
2 4140019 1856
2 418402682 304
3 4832056 1956
3 3541094 1957
2 8443481 556
3 6315208 1957
2 4475246 1416
3 6751606 1957
2 783504239 1
3 7008771 1957
3 4140019 1958
3 5818710 1959
3 4356476 1960
2 6756574 53
2 6365345 1318
2 4012288 644
3 9658504 1958
3 772793 1959
2 7815031 774
3 9894799 1959
2 3784468 876
2 1239631 1856
3 418402682 1958
2 4625036 322
3 4012288 1958
2 5240981 644
2 8811908 1228
2 268287 1627
2 1262326 1686
3 1718290 1955
2 1649751 1899
2 9260334 2000
3 3693684 1954
2 3165359 1193
2 5578598 1971
2 2225481 848
3 3917253 1952
2 508574 1656
2 923233 904
3 4892037 1951
2 9214550 1766
3 7327225 1951
3 1239631 1952
2 9337253 1857
3 631654161 1952
2 4414218 686
2 666730429 234
3 2872541 1951
2 9521602 1935
3 5578598 1951
2 1957235 1967
2 4433530 1067
2 7587565 959
3 8455758 1949
2 6658866 1504
3 2047268 1949
3 8420230 1950
2 1439857 1273
2 7389200 999
2 8853499 295
3 7327816 1948
2 6076552 1160
3 6620435 1948
2 840685089 93
2 8338560 348
3 7774138 1947
2 4161337 1726
3 6658866 1947
3 1906633 1948
3 7877866 1949
3 4475246 1950
3 6015032 1951
2 6683910 1416
2 2222313 600
2 4374888 1504
2 9402547 128
3 840685089 1948
3 8725395 1949
2 8657526 1460
2 552857 90
3 6076552 1948
3 8338560 1949
3 9521602 1950
2 6510378 1933
2 578677469 1160
3 4625036 1949
3 6756574 1950
2 9193544 45
2 2255891 335
2 158746 931
2 826688269 1344
3 4572588 1947
2 8856146 199
3 9337253 1947
3 578677469 1948
3 9193544 1949
2 5729423 45
3 8657526 1949
2 4611020 1460
2 671758823 1857
3 5303828 1948
2 3782724 378
2 5535295 1160
2 5687094 1572
3 5240981 1946
2 2658583 643
2 4093678 1791
2 8229233 492
3 3782724 1944
3 612359984 1945
3 9335905 1946
2 4552994 378
3 826688269 1946
2 9659731 1033
3 783504239 1946
3 5687094 1947
2 356502 1097
2 6501561 1344
3 158746 1946
2 6529358 931
2 9819345 1572
2 4583536 444
2 1509211 751
2 8327042 797
2 4177685 1393
3 9654817 1941
2 6018362 163
2 418394157 1
3 9819345 1940
3 6365345 1941
500
1 4000
2 1203288 1
2 4724067 4000
2 3374122 2000
2 5813341 3000
2 2569580 1000
2 8586375 1500
2 9776926 2500
2 9748193 3500
2 4928 500
2 3735147 750
3 9776926 3991
2 3317432 2500
2 8441667 1250
2 9472394 1750
2 2388413 2250
3 3374122 3988
2 728546754 2000
2 8476501 2750
2 6602820 3250
3 8586375 3986
2 2044781 1500
2 584380 3750
3 4724067 3985
2 7434629 250
2 9337524 4000
2 9719919 375
2 9213478 625
2 863369 875
2 8462088 1125
2 4574931 1375
3 3317432 3979
3 9213478 3980
2 2497686 2500
2 7030329 625
3 4928 3979
2 3416910 500
3 9719919 3979
2 2157391 375
2 8996870 1625
3 8476501 3978
2 8921127 2750
2 8946494 1875
3 584380 3977
2 7357055 3750
2 9022454 2125
2 365202585 2375
2 7530072 2625
3 3416910 3974
2 942257 500
3 8462088 3974
3 2044781 3975
2 2848748 1125
3 2388413 3975
2 7762677 1500
2 3679332 2250
2 9269087 2875
2 3769942 3125
2 867120889 3375
2 3511224 3625
2 7049667 3875
2 3514890 125
2 1390909 187
3 7530072 3967
2 3557442 2625
2 467285 312
3 9748193 3966
2 1034362 3500
2 9440237 437
2 760196668 562
2 971341207 687
3 365202585 3963
2 302101428 2375
2 486511 812
2 3497254 937
2 751192713 1062
2 1677576 1187
3 6602820 3959
2 6662817 3250
2 870769408 1312
3 5813341 3958
3 3557442 3959
3 942257 3960
2 3248485 2625
2 9412884 3000
3 1390909 3959
3 3514890 3960
3 8996870 3961
2 777628905 1625
3 9412884 3961
2 7011390 3000
3 3679332 3961
3 867120889 3962
3 7357055 3963
2 4640011 2250
3 3248485 3963
2 2185176 2625
2 5585123 3375
3 4574931 3962
3 863369 3963
3 8921127 3964
2 5516780 2750
2 8501383 3750
3 2497686 3963
2 6140388 2500
2 9749855 125
3 9440237 3962
2 2626524 1406
2 1574455 468
2 9424398 187
2 2123025 874
2 555824 1562
3 2157391 3958
2 8735017 390
3 3769942 3958
2 411902 3125
2 4326465 1687
3 3511224 3957
3 2123025 3958
2 2506044 3625
2 6086551 874
3 1574455 3957
2 831759156 476
2 4732911 1812
3 6662817 3956
2 7593260 3250
2 1365319 1937
2 5213790 2062
3 831759156 3954
2 8820127 476
2 7246742 2187
3 4640011 3953
2 5783671 2281
2 93537102 2437
3 971341207 3952
2 1928399 687
3 7049667 3952
2 382727564 3875
3 777628905 3952
3 9337524 3953
2 1875507 4000
3 302101428 3953
2 1487328 2359
2 9353739 1624
2 7565810 2562
3 7246742 3951
3 1365319 3952
3 8441667 3953
2 8470191 2203
2 6991206 1249
2 8090185 1937
2 2589384 2687
2 1364243 2812
2 5098906 2937
2 5359245 3062
2 8689372 3187
2 3066935 3312
3 728546754 3945
2 2815700 1999
3 1677576 3945
2 301930301 3437
2 401356 3562
2 5507559 3687
3 7593260 3943
3 751192713 3944
2 9668730 1062
3 2185176 3944
3 2589384 3945
2 130521 2656
2 5185176 3249
2 9589667 3812
2 3689706 3937
3 401356 3942
2 3087739 3562
2 3286434 63
2 9867061 1187
2 6031268 1359
3 2506044 3939
3 2815700 3940
3 7030329 3941
3 7565810 3942
3 8735017 3943
2 838049381 394
3 9022454 3943
3 9867061 3944
2 2867952 2578
3 8820127 3944
3 3087739 3945
3 5213790 3946
2 8400021 2070
3 9749855 3946
2 4500666 3593
2 6610989 478
3 8470191 3945
2 3317490 2175
2 2093893 2003
2 115531892 624
3 4500666 3943
3 1034362 3944
3 555824 3945
3 130521 3946
2 2807815 3562
2 7725726 2664
2 7890785 3499
2 7108416 3624
3 467285 3943
2 2844025 322
3 5783671 3943
3 486511 3944
2 5913556 2267
3 6031268 3944
2 8535613 125
3 7725726 3944
2 6637890 2664
2 4938325 812
2 9983940 1187
3 3689706 3942
3 6610989 3943
2 3431115 478
2 5306418 3937
2 4258437 1562
2 5087412 2122
2 60143 1359
2 7242534 1453
3 115531892 3938
3 5913556 3939
3 7108416 3940
2 1603155 2267
2 5632474 624
2 4406093 3624
2 1660316 2221
2 7453047 2313
2 5583566 2621
2 7550545 2707
2 7501296 436
2 671707 520
3 7011390 3932
3 7501296 3933
2 1211070 2999
2 5478273 436
2 7147104 2398
2 4038155 2539
2 7958770 286
3 7890785 3929
3 3497254 3930
3 8501383 3931
2 2579887 937
2 2281830 3499
2 3503305 3749
3 5359245 3929
2 8490654 3062
3 2807815 3929
3 4326465 3930
2 2157197 1687
2 118037084 3561
2 2350007 358
3 6637890 3928
3 4732911 3929
3 8400021 3930
3 1603155 3931
2 6627782 1812
2 7423017 2062
2 532520 2267
3 6627782 3929
3 3431115 3930
2 48703 1812
2 240737846 2664
2 1432281 478
3 6086551 3928
2 8492398 874
3 7242534 3928
2 3080303 1453
3 2867952 3928
3 3286434 3929
2 6321698 63
3 6991206 3929
3 4258437 3930
2 3988385 1249
3 3988385 3930
3 301930301 3931
2 6419356 1249
2 1721591 1562
2 4829902 3437
2 8395217 2580
3 532520 3928
2 8242182 2267
3 5516780 3928
3 760196668 3929
3 5583566 3930
3 48703 3931
3 7147104 3932
2 3020799 1812
3 7958770 3932
2 5615868 2759
3 382727564 3932
3 4829902 3933
3 3020799 3934
2 4962737 1812
2 7503440 3874
2 5307451 3437
2 8118882 572
3 7550545 3931
2 1687571 2711
3 9668730 3931
2 3767744 1062
2 6888555 2622
3 240737846 3930
3 838049381 3931
2 2976910 2666
3 2350007 3931
3 8090185 3932
3 4938325 3933
3 9589667 3934
2 6278953 1939
3 2848748 3934
2 3489022 1124
2 226458049 3811
3 3489022 3933
2 4984630 1124
3 4984630 3933
3 5087412 3934
3 4406093 3935
2 7007651 3624
2 8969834 1124
2 3408029 812
3 4038155 3933
3 2281830 3934
3 7453047 3935
3 3767744 3936
2 9884324 1062
2 4577055 3499
2 2829334 379
2 1561657 2118
3 3503305 3933
2 3571790 3749
3 9269087 3933
3 5478273 3934
3 5632474 3935
3 3080303 3936
2 786153 2874
2 6305640 629
3 1875507 3935
3 3735147 3936
2 4761855 749
2 1637750 428
2 4088601 1453
3 1637750 3934
2 4100910 428
3 4761855 3934
2 9282223 749
3 9472394 3934
2 9345004 1749
3 6140388 3934
2 9252725 2508
2 7303908 2313
3 411902 3933
2 9349517 3124
3 8490654 3933
3 1203288 3934
3 8969834 3935
2 3220366 1124
3 7434629 3935
2 7796623 254
2 2996934 3061
2 5048233 2398
2 7753768 2544
3 2829334 3932
3 60143 3933
3 6321698 3934
3 8242182 3935
3 2093893 3936
3 3220366 3937
3 5307451 3938
2 5975429 1
2 9924404 1124
3 6278953 3937
3 6305640 3938
3 6888555 3939
2 1627785 1968
2 1879176 63
2 930771 3437
2 6538202 629
3 6538202 3936
2 3466667 629
2 6314386 375
3 7007651 3935
3 5048233 3936
2 4173009 3624
2 1196144 1359
3 930771 3935
2 8519017 3437
2 1088872 2015
2 3033267 1921
2 8235706 2267
2 5655725 2623
3 8235706 3931
2 8932338 2267
3 6419356 3931
3 3317490 3932
3 5975429 3933
2 1021615 1249
3 5185176 3933
3 1196144 3934
2 5844962 3249
2 7701365 2169
2 5039972 1359
3 8395217 3932
3 4962737 3933
2 7187307 1812
2 9720402 2583
2 8765349 2398
2 1938260 2472
3 4100910 3930
2 5748669 426
3 786153 3930
2 6052546 2874
2 612949 288
2 6682180 220
2 4398655 4000
2 8634806 1
2 4400089 780
3 4577055 3925
2 8461934 3499
3 5507559 3925
2 366447 3686
3 9282223 3925
3 1088872 3926
2 8792354 2015
2 3992117 733
2 9960100 905
2 976415 968
2 4275606 1155
2 7767481 1280
2 2207864 1655
2 8704899 1780
2 7216714 1843
2 3940861 2905
2 1160972 3092
3 9720402 3916
2 7281301 2583
2 1836804 3155
3 1879176 3915
3 3571790 3916
2 1716235 3748
2 2909554 63
2 3085893 3280
3 7701365 3914
2 9735978 2169
3 9353739 3914
2 3529403 1608
3 7281301 3914
2 7700168 2583
2 7355155 3343
2 3921818 3592
3 5306418 3912
2 6293611 3937
3 1160972 3912
3 1687571 3913
3 2909554 3914
2 951508 63
2 7815567 2712
2 3177414 3092
2 12713 3779
2 133928 3842
3 8461934 3910
3 9884324 3911
2 1271231 1062
2 4058422 3499
2 5823065 3905
3 3940861 3909
3 3066935 3910
2 704275892 2905
2 1285615 3311
2 5992614 3968
2 3197321 32
2 752186888 94
3 8492398 3906
2 858401 858
3 8535613 3906
2 915826966 140
2 9259705 1031
2 6937208 1093
3 915826966 3904
2 4878545 140
2 237094384 1218
3 870769408 3903
2 9889257 1319
3 8932338 3903
3 9960100 3904
3 1271231 3905
2 6621626 2267
3 9345004 3905
2 4389259 1733
2 7665138 897
2 7537861 1062
2 828065652 1531
2 6223279 2843
3 2207864 3901
2 3092460 1647
2 106631 2968
600
1 8000
2 9032862 1
2 1095393 8000
2 1124288 4000
2 4319851 6000
2 3216082 2000
3 1095393 7996
2 4648259 8000
2 6269450 3000
2 9593533 5000
2 3679052 7000
2 6165735 1000
2 1112446 1500
3 6269450 7991
3 6165735 7992
2 398061 3000
3 4319851 7992
3 9032862 7993
3 3679052 7994
3 1112446 7995
2 21255476 6500
3 9593533 7995
3 3216082 7996
2 1658875 1
2 5996578 1500
2 433077 5250
2 4165284 2250
2 488497567 7250
3 4648259 7992
3 21255476 7993
2 5229458 6250
2 8488805 750
2 261712148 4625
3 398061 7991
2 9766013 3125
3 5996578 7991
2 686594 1500
2 4506517 5750
3 5229458 7990
2 7640506 6500
3 4506517 7990
3 8488805 7991
2 147865 750
3 1124288 7991
2 984357934 3875
2 905265 5875
2 6280144 2687
2 2859195 8000
2 6274658 1125
3 6280144 7987
2 1577619 2687
2 9987866 1875
2 6208141 3500
2 5486300 4250
3 1658875 7984
3 147865 7985
2 1658051 1
3 433077 7985
2 4712624 5250
2 8507291 563
3 261712148 7984
3 905265 7985
2 753171326 5875
3 686594 7985
3 488497567 7986
3 4712624 7987
2 162036683 5062
2 3996082 7250
3 6274658 7986
2 7779747 1219
3 7779747 7986
3 5486300 7987
3 8507291 7988
3 9987866 7989
3 162036683 7990
3 6208141 7991
3 753171326 7992
2 5180324 5187
2 1683871 1125
2 1862166 5843
3 9766013 7990
3 1862166 7991
2 9928037 5843
3 3996082 7991
3 9928037 7992
3 5180324 7993
3 2859195 7994
2 738316 5187
3 1683871 7994
3 7640506 7995
3 1658051 7996
2 781569 8000
2 6474208 6593
3 738316 7995
2 8501913 5234
3 4165284 7995
2 8566702 1
2 2284081 1344
3 2284081 7994
3 781569 7995
2 497644 1344
3 8501913 7995
2 9124085 5234
2 6730084 8000
2 4962911 7296
2 8435414 4554
2 543481 5913
3 6730084 7991
3 4962911 7992
2 2130772 8000
3 8566702 7992
3 2130772 7993
3 6474208 7994
3 1577619 7995
2 3230439 2609
3 9124085 7995
3 543481 7996
2 18736122 8000
2 669975789 6277
3 18736122 7995
2 4592946 8000
2 5782405 5415
2 1404724 7138
2 5671535 1
3 3230439 7992
3 8435414 7993
2 3719074 2609
2 163253 4645
2 966580772 672
2 2446879 3242
2 9849878 1976
2 5318585 5846
3 669975789 7988
3 984357934 7989
2 5727508 3943
2 8849231 6492
3 5782405 7988
3 1404724 7989
3 163253 7990
3 5727508 7991
3 5318585 7992
3 5671535 7993
2 1542458 4867
2 304709037 4054
3 2446879 7992
2 7994098 5679
3 1542458 7992
2 5084515 4866
3 9849878 7992
2 22322768 7246
2 5562043 3331
3 22322768 7991
